Source,dist,R90_median (au),R90_err_16th (au),R90_err_84th (au),R68_median (au),R68_err_16th (au),R68_err_84th (au),inc (°),inc_err_16th (°),inc_err_84th (°),PA (°),PA_err_16th (°),PA_err_84th (°),M_star (Msun),M_star_err_16th (Msun),M_star_err_84th (Msun),r_out_median (au),r_out_err_16th (au),r_out_err_84th (au),T_10_median (K),T_10_err_16th (K),T_10_err_84th (K),T_q_median,T_q_err_16th,T_q_err_84th,tau_10_median,tau_10_err_16th,tau_10_err_84th,vsys (m/s),vsys_err_16th (m/s),vsys_err_84th (m/s),dRA (''),dRA_err_16th (''),dRA_err_84th (''),dDEC (''),dDEC_err_16th (''),dDEC_err_84th ('')
2MASS_J16012268-2408003,140.3,47.95410156250001,1.3701171875,1.3701171875,34.93798828125,0.68505859375,0.68505859375,21.629753252941747,0.5090839349091638,0.6925113934833504,-6.8961918348237425,1.7664131819292326,1.4377625815251793,1.9383483431366466,0.10191561374685976,0.04609051192821223,53.95043638142492,1.736985684165738,1.7254537867157822,99.78432994742559,1.3932599129647372,1.3726857200213374,-0.9589348061893371,0.01905739105139792,0.022053801490451774,4.948660675376962,0.08669188130216643,0.03792681643037721,3539.2363156140527,37.17327235218863,41.5415398559544,-0.15802479517749618,0.0043405127051655,0.004258714162566707,-0.6323241587920237,0.0024991521041466402,0.0025091608117876474
2MASS_J16145026-2332397,144,36.5625,0.703125,1.5187499999999972,27.421875,0.703125,0.703125,14.99711750344466,2.6393240611130775,2.317984393822808,148.11037279667678,1.3795699212468548,1.3877537853649642,0.4701210086680555,0.1146204033277014,0.21445674959933414,40.87322427151726,1.3679141567554396,1.5360835093248824,71.2966038133747,0.6878641879036849,0.704355539498934,-0.925194323347847,0.02770358458033373,0.024153121728734406,4.952795730958628,0.084304820837664,0.035353808185416113,4774.815041167175,13.090460204869487,13.385600561060528,-0.08872381562789693,0.002147093013040849,0.0020048011720774778,-0.29796163845904095,0.0018749717526886367,0.002021237801311415
2MASS_J16020757-2257467,139.6,42.943359375,2.044921875,2.8356250000000003,34.08203125,1.36328125,2.044921875,56.980601463471245,3.976496605824906,3.078521481951121,84.6787245678847,2.399838153679454,2.3811679840322455,0.6271290847098456,0.05264103098929751,0.06458103906161039,47.3977318824369,2.830293955524546,3.0228815562757276,106.47452794891336,5.661476166389349,6.12939457833518,-0.7476085212025847,0.0619309185778355,0.06254871645015658,3.890161157065973,0.8783093405695594,0.787851312130035,3795.60902953411,74.02037992154965,60.266033698510455,-0.24863122040128652,0.007601917175421663,0.009169530787606267,-0.45175842043015346,0.0064080402420577665,0.006514855072862535
2MASS_J16121242-1907191,138.2,38.4638671875,1.349609375,2.0244140625,30.366210937499996,1.349609375,0.7827734374999977,36.65519215283341,2.514280525567223,2.6755106359665177,151.976437529831,2.17962053764046,2.0271642596680692,0.027320423741998542,0.002827254736322428,0.0033979088488486006,41.87488096786458,1.630578714879782,1.8021433710569212,40.2382119232496,0.8878309545034426,0.8911221460749772,-0.6294740940036109,0.04393505351822158,0.04206263566799118,4.938331940308172,0.08359039352677833,0.045584604544116836,3310.621014768831,13.381479334930646,11.970123097168653,-0.18587862371502478,0.004151040615007567,0.004247716956035624,-0.4791106182987196,0.004759955803000093,0.00442674778658414
